"Statistic","Month","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Mean Sale Price","2021M01","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","278477"
"Mean Sale Price","2021M02","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","269118"
"Mean Sale Price","2021M03","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","269673"
"Mean Sale Price","2021M04","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","264232"
"Mean Sale Price","2021M05","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","261949"
"Mean Sale Price","2021M06","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","286142"
"Mean Sale Price","2021M07","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","290609"
"Mean Sale Price","2021M08","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","297056"
"Mean Sale Price","2021M09","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","295884"
"Mean Sale Price","2021M10","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","295030"
"Mean Sale Price","2021M11","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","292163"
"Mean Sale Price","2021M12","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","310972"
